   37.816 1092.512  130.767   0.0001  1  1  1.5  0.5
   37.816 1094.090  130.962   0.0004  1  1  1.5  1.5
   37.816 1106.750  132.532   0.0239  1  1  1.5  0.5
   37.479 1106.750  132.574   0.0621  1  1  0.5  0.5
   37.816 1109.736  132.902   0.1648  1  1  1.5  1.5
   37.479 1109.736  132.944   0.0388  1  1  0.5  1.5
   -0.255 1092.512  135.487   0.0006  1  1  1.5  0.5
    0.000 1094.090  135.651   0.0013  1  1  2.5  1.5
   -0.255 1094.090  135.683   0.0004  1  1  1.5  1.5
    0.000 1096.591  135.961   0.0008  1  1  2.5  2.5
   37.816 1138.823  136.509   0.1060  1  1  1.5  2.5
   37.816 1138.870  136.514   0.0319  1  1  1.5  1.5
   37.479 1138.870  136.556   0.0573  1  1  0.5  1.5
   -0.255 1106.750  137.252   0.1826  1  1  1.5  0.5
    0.000 1109.736  137.591   0.3184  1  1  2.5  1.5
   -0.255 1109.736  137.622   0.0143  1  1  1.5  1.5
    0.000 1138.823  141.197   0.3461  1  1  2.5  2.5
    0.000 1138.870  141.203   0.0140  1  1  2.5  1.5
   -0.255 1138.823  141.229   0.0345  1  1  1.5  2.5
   -0.255 1138.870  141.235   0.2211  1  1  1.5  1.5
  -56.300 1092.512  142.436   0.0882  1  1  1.5  0.5
  -56.300 1094.090  142.631   0.1769  1  1  1.5  1.5
  -56.300 1096.591  142.941   0.2674  1  1  1.5  2.5
   37.816 1197.149  143.740   0.1149  1  1  1.5  0.5
   37.479 1197.149  143.782   0.0632  1  1  0.5  0.5
  -56.300 1106.750  144.201   0.0001  1  1  1.5  0.5
  -56.300 1109.736  144.571   0.0003  1  1  1.5  1.5
  -56.300 1138.823  148.178   0.0003  1  1  1.5  2.5
   -0.255 1197.149  148.460   0.0003  1  1  1.5  0.5
   37.816 1254.423  150.841   0.0002  1  3  1.5  1.5
   37.479 1254.423  150.883   0.0001  1  3  0.5  1.5
   37.816 1260.915  151.646   0.2673  1  3  1.5  1.5
   37.479 1260.915  151.688   0.0671  1  3  0.5  1.5
   37.816 1261.834  151.760   0.0244  1  3  1.5  0.5
   37.479 1261.834  151.802   0.0486  1  3  0.5  0.5
   37.816 1263.118  151.919   0.0001  1  3  1.5  2.5
   37.816 1263.272  151.938   0.0643  1  3  1.5  1.5
   37.479 1263.272  151.980   0.0186  1  3  0.5  1.5
   37.816 1264.542  152.096   0.0582  1  3  1.5  0.5
   37.479 1264.542  152.138   0.1166  1  3  0.5  0.5
   37.816 1269.321  152.688   0.0012  1  3  1.5  2.5
   37.479 1270.484  152.874   0.0002  1  3  0.5  1.5
   37.816 1287.824  154.982   0.1719  1  3  1.5  1.5
   37.479 1287.824  155.024   0.6198  1  3  0.5  1.5
   37.816 1288.522  155.069   0.9665  1  3  1.5  2.5
   -0.255 1254.423  155.561   0.0013  1  3  1.5  1.5
    0.000 1255.246  155.632   0.0013  1  3  2.5  2.5
   -0.255 1255.246  155.663   0.0023  1  3  1.5  2.5
    0.000 1256.478  155.785   0.0049  1  3  2.5  3.5
    0.000 1260.915  156.335   0.0641  1  3  2.5  1.5
   -0.255 1260.915  156.366   0.0301  1  3  1.5  1.5
   -0.255 1261.834  156.480   0.0118  1  3  1.5  0.5
    0.000 1263.118  156.608   0.0005  1  3  2.5  2.5
    0.000 1263.272  156.627   0.0116  1  3  2.5  1.5
   -0.255 1263.118  156.639   0.0045  1  3  1.5  2.5
   -0.255 1263.272  156.659   0.0129  1  3  1.5  1.5
    0.000 1264.055  156.724   0.0080  1  3  2.5  3.5
   -0.255 1264.542  156.816   0.0221  1  3  1.5  0.5
    0.000 1269.321  157.377   0.0182  1  3  2.5  2.5
    0.000 1269.532  157.403   0.0310  1  3  2.5  2.5
   -0.255 1269.321  157.409   0.3197  1  3  1.5  2.5
   -0.255 1269.532  157.435   0.3253  1  3  1.5  2.5
    0.000 1270.484  157.521   0.0009  1  3  2.5  1.5
   37.816 1308.779  157.581   0.0526  1  3  1.5  1.5
   37.816 1308.842  157.588   0.3910  1  3  1.5  2.5
   -0.255 1271.031  157.621   0.0001  1  3  1.5  0.5
   37.479 1308.779  157.622   0.4547  1  3  0.5  1.5
   37.816 1310.107  157.745   0.6830  1  3  1.5  2.5
    0.000 1272.572  157.780   0.9298  1  3  2.5  3.5
   37.816 1317.483  158.660   0.0997  1  3  1.5  0.5
   37.479 1317.483  158.702   0.2805  1  3  0.5  0.5
   37.816 1318.256  158.756   0.7528  1  3  1.5  1.5
   37.479 1318.256  158.797   0.1269  1  3  0.5  1.5
   37.816 1322.235  159.249   0.2810  1  3  1.5  0.5
   37.479 1322.235  159.291   0.1148  1  3  0.5  0.5
    0.000 1287.824  159.671   0.0666  1  3  2.5  1.5
   -0.255 1287.824  159.703   0.3753  1  3  1.5  1.5
    0.000 1288.522  159.758   0.7692  1  3  2.5  2.5
   -0.255 1288.522  159.789   0.2164  1  3  1.5  2.5
    0.000 1303.883  161.662   0.0726  1  3  2.5  3.5
    0.000 1308.779  162.269   0.0889  1  3  2.5  1.5
    0.000 1308.842  162.277   1.1871  1  3  2.5  2.5
    0.000 1308.965  162.292   4.1741  1  3  2.5  3.5
   -0.255 1308.779  162.301   0.7510  1  3  1.5  1.5
   -0.255 1308.842  162.309   0.9480  1  3  1.5  2.5
    0.000 1310.107  162.434   0.0616  1  3  2.5  2.5
   -0.255 1310.107  162.465   1.9411  1  3  1.5  2.5
  -56.300 1254.423  162.510   0.0002  1  3  1.5  1.5
  -56.300 1255.246  162.612   0.0010  1  3  1.5  2.5
