    0.000  2.5  1 (2d) 2d      1269.532  2.5  3 (3p) 4p       157.403   0.0310
   -0.255  1.5  1 (2d) 2d      1269.321  2.5  3 (3p) 4p       157.409   0.3197
   -0.255  1.5  1 (2d) 2d      1269.532  2.5  3 (3p) 4p       157.435   0.3253
    0.000  2.5  1 (2d) 2d      1270.484  1.5  3 (3p) 4p       157.521   0.0009
   37.816  1.5  1 (2p) 2p      1308.779  1.5  3 (1d) 2d       157.581   0.0526
   37.816  1.5  1 (2p) 2p      1308.842  2.5  3 (1d) 2d       157.588   0.3910
   -0.255  1.5  1 (2d) 2d      1271.031  0.5  3 (3p) 4p       157.621   0.0001
   37.479  0.5  1 (2p) 2p      1308.779  1.5  3 (1d) 2d       157.622   0.4547
   37.816  1.5  1 (2p) 2p      1310.107  2.5  3 (1d) 2f       157.745   0.6830
    0.000  2.5  1 (2d) 2d      1272.572  3.5  3 (3p) 2f       157.780   0.9298
   37.816  1.5  1 (2p) 2p      1317.483  0.5  3 (1d) 2p       158.660   0.0997
   37.479  0.5  1 (2p) 2p      1317.483  0.5  3 (1d) 2p       158.702   0.2805
   37.816  1.5  1 (2p) 2p      1318.256  1.5  3 (1d) 2p       158.756   0.7528
   37.479  0.5  1 (2p) 2p      1318.256  1.5  3 (1d) 2p       158.797   0.1269
   37.816  1.5  1 (2p) 2p      1322.235  0.5  3 (1d) 2s       159.249   0.2810
   37.479  0.5  1 (2p) 2p      1322.235  0.5  3 (1d) 2s       159.291   0.1148
    0.000  2.5  1 (2d) 2d      1287.824  1.5  3 (3p) 2d       159.671   0.0666
   -0.255  1.5  1 (2d) 2d      1287.824  1.5  3 (3p) 2d       159.703   0.3753
    0.000  2.5  1 (2d) 2d      1288.522  2.5  3 (3p) 2d       159.758   0.7692
   -0.255  1.5  1 (2d) 2d      1288.522  2.5  3 (3p) 2d       159.789   0.2164
    0.000  2.5  1 (2d) 2d      1303.883  3.5  3 (1d) 2g       161.662   0.0726
    0.000  2.5  1 (2d) 2d      1308.779  1.5  3 (1d) 2d       162.269   0.0889
    0.000  2.5  1 (2d) 2d      1308.842  2.5  3 (1d) 2d       162.277   1.1871
    0.000  2.5  1 (2d) 2d      1308.965  3.5  3 (1d) 2f       162.292   4.1741
   -0.255  1.5  1 (2d) 2d      1308.779  1.5  3 (1d) 2d       162.301   0.7510
   -0.255  1.5  1 (2d) 2d      1308.842  2.5  3 (1d) 2d       162.309   0.9480
    0.000  2.5  1 (2d) 2d      1310.107  2.5  3 (1d) 2f       162.434   0.0616
   -0.255  1.5  1 (2d) 2d      1310.107  2.5  3 (1d) 2f       162.465   1.9411
  -56.300  1.5  1 (4s) 4s      1254.423  1.5  3 (3p) 4f       162.510   0.0002
  -56.300  1.5  1 (4s) 4s      1255.246  2.5  3 (3p) 4f       162.612   0.0010
  -56.300  1.5  1 (4s) 4s      1260.915  1.5  3 (3p) 2p       163.315   0.0191
   -0.255  1.5  1 (2d) 2d      1317.483  0.5  3 (1d) 2p       163.380   0.2019
  -56.300  1.5  1 (4s) 4s      1261.834  0.5  3 (3p) 4d       163.429   0.0062
    0.000  2.5  1 (2d) 2d      1318.256  1.5  3 (1d) 2p       163.444   0.2939
   -0.255  1.5  1 (2d) 2d      1318.256  1.5  3 (1d) 2p       163.476   0.0223
  -56.300  1.5  1 (4s) 4s      1263.118  2.5  3 (3p) 4d       163.588   0.1647
  -56.300  1.5  1 (4s) 4s      1263.272  1.5  3 (3p) 4d       163.607   0.0353
  -56.300  1.5  1 (4s) 4s      1264.542  0.5  3 (3p) 2p       163.765   0.0008
   -0.255  1.5  1 (2d) 2d      1322.235  0.5  3 (1d) 2s       163.969   0.0028
  -56.300  1.5  1 (4s) 4s      1269.321  2.5  3 (3p) 4p       164.357   1.3441
  -56.300  1.5  1 (4s) 4s      1269.532  2.5  3 (3p) 4p       164.384   1.2089
  -56.300  1.5  1 (4s) 4s      1270.484  1.5  3 (3p) 4p       164.502   1.7600
  -56.300  1.5  1 (4s) 4s      1271.031  0.5  3 (3p) 4p       164.569   0.9009
   37.816  1.5  1 (2p) 2p      1366.724  2.5  3 (1s) 2d       164.765   1.1498
   37.816  1.5  1 (2p) 2p      1367.190  1.5  3 (1s) 2d       164.823   0.1385
   37.479  0.5  1 (2p) 2p      1367.190  1.5  3 (1s) 2d       164.865   0.7021
  -56.300  1.5  1 (4s) 4s      1308.779  1.5  3 (1d) 2d       169.250   0.0002
  -56.300  1.5  1 (4s) 4s      1308.842  2.5  3 (1d) 2d       169.257   0.0008
  -56.300  1.5  1 (4s) 4s      1310.107  2.5  3 (1d) 2f       169.414   0.0005
    0.000  2.5  1 (2d) 2d      1366.724  2.5  3 (1s) 2d       169.454   0.0256
   -0.255  1.5  1 (2d) 2d      1366.724  2.5  3 (1s) 2d       169.485   0.0063
    0.000  2.5  1 (2d) 2d      1367.190  1.5  3 (1s) 2d       169.511   0.0020
   -0.255  1.5  1 (2d) 2d      1367.190  1.5  3 (1s) 2d       169.543   0.0123
  -56.300  1.5  1 (4s) 4s      1317.483  0.5  3 (1d) 2p       170.329   0.0001
  -56.300  1.5  1 (4s) 4s      1318.256  1.5  3 (1d) 2p       170.425   0.0007
  -56.300  1.5  1 (4s) 4s      1322.235  0.5  3 (1d) 2s       170.918   0.0003
   37.816  1.5  1 (2p) 2p      1480.209  0.5  2 (3p) 4p       178.835   0.0001
   37.479  0.5  1 (2p) 2p      1480.209  0.5  2 (3p) 4p       178.877   0.0002
   37.816  1.5  1 (2p) 2p      1481.776  1.5  2 (3p) 4p       179.030   0.0007
   37.479  0.5  1 (2p) 2p      1481.776  1.5  2 (3p) 4p       179.072   0.0001
   37.816  1.5  1 (2p) 2p      1485.519  0.5  2 (3p) 2p       179.494   0.0047
   37.479  0.5  1 (2p) 2p      1485.519  0.5  2 (3p) 2p       179.536   0.0126
   37.816  1.5  1 (2p) 2p      1488.570  1.5  2 (3p) 2p       179.872   0.0333
   37.479  0.5  1 (2p) 2p      1488.570  1.5  2 (3p) 2p       179.914   0.0075
   -0.255  1.5  1 (2d) 2d      1480.209  0.5  2 (3p) 4p       183.556   0.0009
    0.000  2.5  1 (2d) 2d      1481.776  1.5  2 (3p) 4p       183.718   0.0016
   -0.255  1.5  1 (2d) 2d      1481.776  1.5  2 (3p) 4p       183.750   0.0002
    0.000  2.5  1 (2d) 2d      1484.391  2.5  2 (3p) 4p       184.043   0.0002
   -0.255  1.5  1 (2d) 2d      1485.519  0.5  2 (3p) 2p       184.214   0.0357
   37.816  1.5  1 (2p) 2p      1523.793  2.5  2 (1d) 2d       184.239   0.0228
   37.816  1.5  1 (2p) 2p      1523.812  1.5  2 (1d) 2d       184.242   0.0060
   37.479  0.5  1 (2p) 2p      1523.812  1.5  2 (1d) 2d       184.283   0.0125
    0.000  2.5  1 (2d) 2d      1488.570  1.5  2 (3p) 2p       184.561   0.0619
   -0.255  1.5  1 (2d) 2d      1488.570  1.5  2 (3p) 2p       184.592   0.0031
   37.816  1.5  1 (2p) 2p      1540.889  1.5  4 (3p) 4f       186.359   0.0003
   37.479  0.5  1 (2p) 2p      1540.889  1.5  4 (3p) 4f       186.401   0.0014
   37.816  1.5  1 (2p) 2p      1544.057  1.5  4 (3p) 4d       186.752   0.0439
   37.816  1.5  1 (2p) 2p      1544.197  0.5  4 (3p) 4d       186.769   0.0034
   37.479  0.5  1 (2p) 2p      1544.057  1.5  4 (3p) 4d       186.793   0.0145
   37.479  0.5  1 (2p) 2p      1544.197  0.5  4 (3p) 4d       186.811   0.0073
   37.816  1.5  1 (2p) 2p      1544.927  2.5  4 (3p) 4d       186.860   0.0018
   37.816  1.5  1 (2p) 2p      1545.736  1.5  4 (3p) 2p       186.960   0.0562
   37.479  0.5  1 (2p) 2p      1545.736  1.5  4 (3p) 2p       187.002   0.0335
