0  eigenvalues      (j= 0.0)

                              -15.414   71.298
                    1         11111    11111   
                              (3p) 3p  (1s) 1s 
  1:11111        (3p) 3p  1   0.99915  0.04114
  1:11111        (1s) 1s  2  -0.04114  0.99915
  1:11111        (3p 0.0)  1  0.99915  0.04114
  1:11111        (1s 0.0)  2 -0.04114  0.99915
0  eigenvalues      (j= 1.0)

                              -16.528
                    1         11111   
                              (3p) 3p 
  1:11111        (3p) 3p  1   1.00000
0  eigenvalues      (j= 2.0)

                              -19.134   17.874
                    1         11111    11111   
                              (3p) 3p  (1d) 1d 
  1:11111        (3p) 3p  1   0.99884 -0.04821
  1:11111        (1d) 1d  2   0.04821  0.99884
  1:11111        (3p 2.0)  1  0.99884 -0.04821
  1:11111        (1d 2.0)  2  0.04821  0.99884
1  eigenvalues      (j= 0.0)

                              975.071 1047.590 1103.558 1115.660 1145.114 1257.999 1290.915 1314.109 1319.222 1353.388 1353.529 1409.673 1412.091 1448.246
                    1         11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111   
                              (2p) 3p  (4s) 5d  (2d) 1s  (2d) 3p  (2p) 3p  (4s) 5d  (2p) 3p  (2d) 1s  (2d) 3p  (2p) 3p  (4s) 5d  (2d) 1s  (2d) 3p  (2p) 3p 
  1:11111        (2p) 3p  1   0.99836 -0.00045 -0.00052  0.05631 -0.00374 -0.00008 -0.00399  0.00001  0.00808 -0.00232 -0.00059  0.00008  0.00348 -0.00146
  2:11111        (2p) 3p  2   0.00412  0.00006  0.00015 -0.01648  0.00215  0.00028  0.99566  0.00090  0.09026 -0.00741 -0.00185  0.00043  0.01239 -0.00229
  3:11111        (4s) 5d  3   0.00024  0.99936 -0.00233  0.00188 -0.02826 -0.01968  0.00005  0.00004 -0.00003  0.00256 -0.00876  0.00002  0.00001  0.00023
  3:11111        (2d) 3p  4  -0.05617 -0.00055 -0.00252  0.99701  0.04655  0.00023  0.01492  0.00054  0.01809  0.00347  0.00090  0.00045  0.00847  0.00096
  3:11111        (2p) 3p  5   0.00629  0.02841  0.04714 -0.04610  0.99734  0.00007 -0.00354 -0.00016  0.00551 -0.00765 -0.00185 -0.00008  0.00154 -0.00371
  3:11111        (2d) 1s  6   0.00008  0.00099  0.99865  0.00473 -0.04701 -0.00003  0.00003 -0.01965  0.00028  0.00087  0.00019 -0.00910  0.00041  0.00043
  4:11111        (4s) 5d  7   0.00003  0.01949 -0.00005 -0.00004 -0.00085  0.99920 -0.00035 -0.00249 -0.00166 -0.02378 -0.02535  0.00002 -0.00013  0.00040
  4:11111        (2d) 3p  8  -0.00764 -0.00010 -0.00018 -0.01682 -0.00684  0.00058 -0.09091  0.01547  0.99468 -0.03662 -0.00811  0.00109  0.01732  0.00381
  4:11111        (2p) 3p  9   0.00236  0.00033  0.00046 -0.00463  0.00739  0.02914  0.00401  0.05043  0.03704  0.97056  0.23026  0.00039  0.00869 -0.00804
  4:11111        (2d) 1s 10   0.00001  0.00002  0.01946  0.00005 -0.00106  0.00102  0.00029  0.99823 -0.01738 -0.04850 -0.01151 -0.01915  0.00068  0.00081
  5:11111        (4s) 5d 11   0.00001  0.00949 -0.00002  0.00001 -0.00035  0.01898  0.00008 -0.00008 -0.00044 -0.23141  0.97218 -0.00263 -0.00238 -0.02922
  5:11111        (2d) 3p 12  -0.00303 -0.00003 -0.00005 -0.00798 -0.00209 -0.00012 -0.01103 -0.00055 -0.01870 -0.00837 -0.00102  0.04316  0.99737 -0.05264
  5:11111        (2p) 3p 13   0.00144  0.00015  0.00021 -0.00148  0.00364  0.00039  0.00205  0.00048 -0.00429  0.00066  0.03038  0.05308  0.05029  0.99684
  5:11111        (2d) 1s 14   0.00001  0.00001  0.00948  0.00004 -0.00049  0.00002  0.00004  0.01895 -0.00044 -0.00154  0.00069  0.99743 -0.04586 -0.05083
  1:11111        (2p 0.5)  1  0.99836 -0.00045 -0.00052  0.05631 -0.00374 -0.00008 -0.00399  0.00001  0.00808 -0.00232 -0.00059  0.00008  0.00348 -0.00146
  2:11111        (2p 0.5)  2  0.00412  0.00006  0.00015 -0.01648  0.00215  0.00028  0.99566  0.00090  0.09026 -0.00741 -0.00185  0.00043  0.01239 -0.00229
  3:11111        (2d 2.5)  3  0.03559  0.00111  0.77514 -0.62690 -0.06585 -0.00017 -0.00942 -0.01556 -0.01122 -0.00152 -0.00042 -0.00733 -0.00504 -0.00027
  3:11111        (4s 1.5)  4 -0.00024 -0.99936  0.00233 -0.00188  0.02826  0.01968 -0.00005 -0.00004  0.00003 -0.00256  0.00876 -0.00002 -0.00001 -0.00023
  3:11111        (2d 1.5)  5 -0.04346  0.00020  0.62965  0.77527  0.00633  0.00016  0.01157 -0.01201  0.01419  0.00324  0.00082 -0.00540  0.00682  0.00102
  3:11111        (2p 1.5)  6 -0.00629 -0.02841 -0.04714  0.04610 -0.99734 -0.00007  0.00354  0.00016 -0.00551  0.00765  0.00185  0.00008 -0.00154  0.00371
  4:11111        (2d 2.5)  7  0.00484  0.00008  0.01519  0.01068  0.00351  0.00042  0.05772  0.76344 -0.64255 -0.01441 -0.00379 -0.01553 -0.01043 -0.00178
  4:11111        (4s 1.5)  8 -0.00003 -0.01949  0.00005  0.00004  0.00085 -0.99920  0.00035  0.00249  0.00166  0.02378  0.02535 -0.00002  0.00013 -0.00040
  4:11111        (2d 1.5)  9 -0.00591 -0.00006  0.01217 -0.01300 -0.00597  0.00109 -0.07024  0.64332  0.75948 -0.05904 -0.01356 -0.01127  0.01385  0.00346
  4:11111        (2p 1.5) 10 -0.00236 -0.00033 -0.00046  0.00463 -0.00739 -0.02914 -0.00401 -0.05043 -0.03704 -0.97056 -0.23026 -0.00039 -0.00869  0.00804
  5:11111        (2d 2.5) 11  0.00192  0.00003  0.00737  0.00508  0.00094  0.00009  0.00701  0.01503  0.01148  0.00410  0.00118  0.74530 -0.66631 -0.00608
  5:11111        (4s 1.5) 12 -0.00001 -0.00949  0.00002 -0.00001  0.00035 -0.01898 -0.00008  0.00008  0.00044  0.23141 -0.97218  0.00263  0.00238  0.02922
  5:11111        (2d 1.5) 13 -0.00234 -0.00002  0.00596 -0.00616 -0.00193 -0.00008 -0.00852  0.01156 -0.01477 -0.00746 -0.00036  0.66426  0.74355 -0.07292
  5:11111        (2p 1.5) 14 -0.00144 -0.00015 -0.00021  0.00148 -0.00364 -0.00039 -0.00205 -0.00048  0.00429 -0.00066 -0.03038 -0.05308 -0.05029 -0.99684
1  eigenvalues      (j= 1.0)

                              893.993  937.837  975.182  983.096 1047.597 1061.833 1109.962 1110.890 1115.483 1118.996 1145.381 1149.898 1166.324 1201.397 1253.431 1258.002 1265.086 1291.017 1293.639 1316.449 1317.538 1319.212 1320.618 1353.418 1353.527 1353.793 1358.988 1362.583 1410.791 1411.438 1412.097 1412.978 1448.222 1449.142 1453.216
                    1         11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111    11111   
                              (4s) 3s  (2d) 3d  (2p) 3p  (2p) 1p  (4s) 5d  (4s) 3d  (2d) 1p  (2d) 3d  (2d) 3p  (2d) 3s  (2p) 3p  (2p) 3d  (2p) 1p  (4s) 3s  (2d) 3d  (4s) 5d  (4s) 3d  (2p) 3p  (2p) 1p  (2d) 3d  (2d) 1p  (2d) 3p  (2d) 3s  (2p) 3p  (4s) 5d  (2p) 3d  (4s) 3d  (2p) 1p  (2d) 3d  (2d) 1p  (2d) 3p  (2d) 3s  (2p) 3p  (2p) 3d  (2p) 1p 
  1:11111        (2d) 3d  1  -0.00223  0.99683  0.04628  0.05622  0.00068 -0.00660  0.00368  0.00480 -0.00025  0.00000 -0.00038 -0.02927  0.00124  0.00001 -0.00355  0.00005 -0.00463 -0.00015 -0.00012  0.00236 -0.00070 -0.00013  0.00000 -0.00037 -0.00030 -0.00280 -0.00571  0.00060  0.00161 -0.00058 -0.00012  0.00000 -0.00023 -0.00248  0.00029
  1:11111        (2p) 3p  2   0.01958 -0.04725  0.99688  0.01748 -0.00044 -0.00012  0.00503 -0.00211  0.05620  0.00209 -0.00199 -0.00110  0.00134 -0.00020  0.00016 -0.00007 -0.00003 -0.00399 -0.00023  0.00045  0.00078  0.00810 -0.00028 -0.00208 -0.00052  0.00015 -0.00005  0.00028  0.00032  0.00030  0.00349 -0.00034 -0.00135  0.00007  0.00014
  1:11111        (4s) 3s  3   0.99915  0.00455 -0.01894 -0.02543 -0.00001  0.00002 -0.00063  0.00051  0.00029 -0.01613  0.00086 -0.00001 -0.00050  0.01808  0.00007 -0.00001  0.00000 -0.00020 -0.00040 -0.00002 -0.00012 -0.00023 -0.00799  0.00035  0.00007 -0.00005 -0.00001 -0.00024  0.00000  0.00003 -0.00046 -0.00531  0.00023 -0.00003 -0.00016
  1:11111        (2p) 1p  4   0.02525 -0.05520 -0.02058  0.99598 -0.00007 -0.00006  0.04386 -0.03496 -0.00566 -0.00103  0.00162 -0.00076  0.02121  0.00021 -0.00079 -0.00001  0.00020 -0.00061  0.00993  0.00181  0.00869 -0.00118 -0.00018  0.00025  0.00005 -0.00010  0.00043  0.00764  0.00091  0.00360 -0.00058 -0.00005  0.00015  0.00019  0.00515
  2:11111        (2d) 3d  5  -0.00001  0.00379  0.00017  0.00034 -0.00013  0.00195 -0.00145 -0.00306  0.00055  0.00000  0.00026  0.02216 -0.00062 -0.00179  0.99484  0.00535 -0.05539  0.04346  0.06528  0.00681  0.00198  0.00139 -0.00006 -0.00174 -0.00136 -0.01341 -0.01542  0.00192  0.00212 -0.00067 -0.00012  0.00000 -0.00059 -0.00609  0.00058
  2:11111        (2p) 3p  6  -0.00001 -0.00019  0.00412  0.00007  0.00006 -0.00002 -0.00136  0.00063 -0.01644 -0.00036  0.00138  0.00008 -0.00073  0.01783 -0.04710  0.00000  0.00381  0.99266  0.05751  0.00539  0.00903  0.09036 -0.00211 -0.00616 -0.00156 -0.00019 -0.00060  0.00145  0.00103  0.00099  0.01235 -0.00107 -0.00199 -0.00003  0.00040
  2:11111        (4s) 3s  7  -0.01787 -0.00009  0.00049  0.00054  0.00001 -0.00001 -0.00015  0.00009 -0.00104  0.02138 -0.00189  0.00005  0.00031  0.99904  0.00416 -0.00001 -0.00022 -0.01617 -0.02527 -0.00056 -0.00217 -0.00134 -0.01327  0.00053  0.00011 -0.00005 -0.00002 -0.00057 -0.00004 -0.00009 -0.00060 -0.00616  0.00025 -0.00003 -0.00022
  2:11111        (2p) 1p  8  -0.00030  0.00046  0.00020 -0.00993  0.00001 -0.00005 -0.01209  0.00989  0.00168  0.00070 -0.00073 -0.00026 -0.01313  0.02452 -0.06240 -0.00032  0.00414 -0.06084  0.98983  0.02410  0.10087 -0.01093 -0.00035  0.00148  0.00023 -0.00131  0.00047  0.02017  0.00353  0.01229 -0.00156  0.00010  0.00041  0.00006  0.00749
  3:11111        (4s) 5d  9   0.00000 -0.00036  0.00020 -0.00001  0.99933 -0.00837  0.00335  0.00014  0.00322 -0.00194 -0.02408  0.01365 -0.00060 -0.00001 -0.00002 -0.01968  0.00040  0.00004  0.00000 -0.00006 -0.00003 -0.00005  0.00004  0.00245 -0.00878  0.00042  0.00004  0.00000 -0.00003 -0.00001  0.00000  0.00002  0.00019 -0.00011  0.00000
  3:11111        (4s) 3d 10  -0.00002  0.01072  0.00064  0.00060  0.00742  0.97790 -0.09977 -0.14553  0.00574  0.00159  0.00923  0.09551 -0.02613  0.00001 -0.00217 -0.00008  0.03283 -0.00017 -0.00030 -0.02186  0.00572  0.00092  0.00001  0.00045  0.00046  0.00414  0.02495 -0.00312 -0.01155  0.00394  0.00081 -0.00001  0.00075  0.00950 -0.00146
  3:11111        (2d) 3d 11   0.00001 -0.00584 -0.00039 -0.00033  0.00052  0.18195  0.59996  0.77601 -0.02260  0.00138  0.02540 -0.02899  0.02992  0.00000  0.00128 -0.00026 -0.03861  0.00014  0.00025 -0.00091  0.00031 -0.00006 -0.00007  0.00042  0.00059  0.00806 -0.01599  0.00153 -0.00003  0.00001 -0.00008 -0.00003 -0.00029 -0.00166  0.00053
  3:11111        (2p) 3d 12  -0.00006  0.02835  0.00137  0.00168 -0.01419 -0.09138  0.04856  0.02457  0.01592  0.00012  0.01531  0.99205 -0.02545  0.00005 -0.01925 -0.00021  0.04073 -0.00080 -0.00117 -0.00227  0.00074  0.00015  0.00004  0.00004 -0.00021 -0.00313  0.01781 -0.00158 -0.00201  0.00076  0.00018  0.00001  0.00040  0.00356 -0.00058
  3:11111        (2d) 3p 13  -0.00070  0.00221 -0.05619 -0.00090 -0.00105 -0.00126  0.07749 -0.03569  0.98923  0.04223  0.08395 -0.01933  0.03383  0.00060 -0.00087  0.00018 -0.00021  0.01484  0.00093  0.00066  0.00158  0.01786 -0.00023  0.00387  0.00091 -0.00072 -0.00020  0.00103  0.00057  0.00064  0.00836 -0.00065  0.00117 -0.00023  0.00048
  3:11111        (2p) 3p 14   0.00020 -0.00029  0.00666  0.00074  0.02456 -0.01179 -0.05828  0.01180 -0.08211  0.05782  0.99252 -0.01179  0.01532  0.00049  0.00018  0.00006 -0.00001 -0.00344 -0.00005  0.00050  0.00095  0.00584 -0.00086 -0.00741 -0.00170  0.00094  0.00011  0.00026  0.00026  0.00030  0.00165 -0.00041 -0.00364  0.00035  0.00011
  3:11111        (2d) 3s 15   0.01682  0.00009 -0.00042 -0.00059  0.00054 -0.00071  0.00738 -0.00727 -0.03895  0.99617 -0.06107  0.00180  0.02303 -0.02070 -0.00006  0.00003 -0.00002  0.00018  0.00027  0.00004  0.00031  0.00063  0.02864 -0.00110 -0.00023  0.00018  0.00006  0.00091 -0.00001 -0.00008  0.00121  0.01460 -0.00056  0.00008  0.00047
  3:11111        (2d) 1p 16  -0.00090  0.00261  0.00105 -0.05961 -0.00089 -0.00497  0.76797 -0.60399 -0.09124 -0.01504  0.04270 -0.01783  0.17387  0.00085 -0.00117 -0.00001  0.00058 -0.00095  0.01594  0.00049  0.00603 -0.00156 -0.00070 -0.00005  0.00001  0.00031  0.00144  0.02160  0.00055  0.00347 -0.00088 -0.00027  0.00012  0.00058  0.01150
  3:11111        (2p) 1p 17  -0.00029  0.00069  0.00076 -0.01184  0.00023  0.01932 -0.15982  0.08293 -0.01422 -0.02297 -0.02471  0.03326  0.97946  0.00030 -0.00057 -0.00003  0.00111  0.00000  0.00575  0.00372  0.02530 -0.00509 -0.00176  0.00042  0.00014  0.00051  0.00361  0.05777  0.00278  0.01338 -0.00278 -0.00063  0.00054  0.00145  0.03190
  4:11111        (4s) 5d 18   0.00000 -0.00003  0.00002  0.00000  0.01949 -0.00008  0.00007 -0.00001  0.00001 -0.00006 -0.00072  0.00060 -0.00003  0.00001 -0.00552  0.99916 -0.00765 -0.00040 -0.00021  0.00280  0.00187 -0.00002 -0.00189 -0.01846 -0.02282  0.01642  0.00796 -0.00092 -0.00008 -0.00003 -0.00013  0.00005  0.00033 -0.00012 -0.00001
