  1  1 0.0  -15.414
  1  1 0.0   71.298
  1  1 1.0  -16.528
  1  1 2.0  -19.134
  1  1 2.0   17.874
  2  3 5.0 1106.191
  2  4 5.0 1315.225
  2  5 5.0 1410.264
