  470.274  502.906    4.046   0.0002  2  8  1.0  2.0
  470.823  515.246    5.508   0.0001  2  8  2.0  1.0
  470.274  515.246    5.576   0.0001  2  8  1.0  1.0
  470.274  517.594    5.867   0.0001  2  8  1.0  0.0
  470.274  520.690    6.251   0.0002  2  8  1.0  0.0
  470.274  521.074    6.298   0.0001  2  8  1.0  2.0
  470.823  521.920    6.335   0.0003  2  8  2.0  1.0
  470.274  521.920    6.403   0.0002  2  8  1.0  1.0
  476.141  529.061    6.561   0.0006  2  8  2.0  1.0
  470.274  523.417    6.589   0.0046  2  8  1.0  2.0
  470.274  523.496    6.599   0.0005  2  8  1.0  2.0
  470.823  525.158    6.737   0.0005  2  8  2.0  1.0
  476.141  530.865    6.785   0.0008  2  8  2.0  1.0
  470.274  525.158    6.805   0.0003  2  8  1.0  1.0
  436.970  492.274    6.857   0.0001  2  8  2.0  1.0
  470.274  525.996    6.909   0.0005  2  8  1.0  0.0
  470.823  528.095    7.101   0.0002  2  8  2.0  1.0
  470.274  528.095    7.169   0.0002  2  8  1.0  1.0
  470.823  529.061    7.221   0.0009  2  8  2.0  1.0
  470.274  528.522    7.222   0.0001  2  8  1.0  2.0
  470.274  529.061    7.289   0.0004  2  8  1.0  1.0
  470.274  529.156    7.301   0.0001  2  8  1.0  2.0
  476.141  535.557    7.367   0.0005  2  8  2.0  1.0
  476.141  536.073    7.431   0.0048  2  8  2.0  1.0
  470.823  530.865    7.444   0.0007  2  8  2.0  1.0
  470.274  531.980    7.651   0.0005  2  8  1.0  2.0
  470.274  533.914    7.890   0.0004  2  8  1.0  0.0
  470.274  534.731    7.992   0.0002  2  8  1.0  2.0
  470.823  535.557    8.026   0.0009  2  8  2.0  1.0
  470.823  536.073    8.090   0.0002  2  8  2.0  1.0
  476.141  541.392    8.090   0.0006  2  8  2.0  1.0
  470.274  535.557    8.094   0.0004  2  8  1.0  1.0
  470.274  535.745    8.117   0.0003  2  8  1.0  2.0
  476.141  542.679    8.250   0.0042  2  8  2.0  1.0
  436.970  505.795    8.533   0.0015  2  8  2.0  1.0
  470.823  542.679    8.909   0.0012  2  8  2.0  1.0
  470.274  542.679    8.977   0.0002  2  8  1.0  1.0
  470.274  542.844    8.998   0.0008  2  8  1.0  0.0
  417.434  490.756    9.091   0.0001  2  8  1.0  2.0
  417.434  492.274    9.279   0.0003  2  8  1.0  1.0
  414.046  490.756    9.511   0.0003  2  8  1.0  2.0
  436.970  515.246    9.705   0.0009  2  8  2.0  1.0
  470.274  549.498    9.823   0.0121  2  8  1.0  2.0
  476.141  555.498    9.839   0.0002  2  8  2.0  1.0
  416.798  496.288    9.856   0.0001  2  8  0.0  1.0
  414.046  494.738   10.005   0.0006  2  8  1.0  2.0
  411.498  492.274   10.015   0.0003  2  8  0.0  1.0
  409.966  490.756   10.017   0.0005  2  8  1.0  2.0
  436.970  518.126   10.062   0.0006  2  8  2.0  1.0
  422.896  504.400   10.105   0.0009  2  8  1.0  2.0
  414.046  495.848   10.142   0.0003  2  8  1.0  2.0
  423.577  505.795   10.194   0.0009  2  8  2.0  1.0
  414.046  496.288   10.197   0.0006  2  8  1.0  1.0
  409.966  492.274   10.205   0.0002  2  8  1.0  1.0
  422.896  505.795   10.278   0.0025  2  8  1.0  1.0
  412.737  496.288   10.359   0.0004  2  8  2.0  1.0
  470.274  554.488   10.441   0.0113  2  8  1.0  2.0
  470.823  555.498   10.498   0.0052  2  8  2.0  1.0
  411.498  496.288   10.513   0.0003  2  8  0.0  1.0
  436.970  521.920   10.533   0.0033  2  8  2.0  1.0
  470.274  555.498   10.567   0.0151  2  8  1.0  1.0
  470.274  555.647   10.585   0.0066  2  8  1.0  2.0
  417.434  502.906   10.597   0.0019  2  8  1.0  2.0
  409.966  495.848   10.648   0.0004  2  8  1.0  2.0
  409.966  496.288   10.703   0.0005  2  8  1.0  1.0
  417.434  503.843   10.713   0.0004  2  8  1.0  2.0
  409.966  496.686   10.752   0.0009  2  8  1.0  0.0
  417.434  504.400   10.783   0.0016  2  8  1.0  2.0
  436.970  524.078   10.800   0.0031  2  8  2.0  1.0
  402.976  490.756   10.883   0.0044  2  8  1.0  2.0
  417.676  505.795   10.925   0.0045  2  8  2.0  1.0
  436.970  525.158   10.934   0.0145  2  8  2.0  1.0
  417.434  505.795   10.956   0.0144  2  8  1.0  1.0
  416.798  505.795   11.034   0.0005  2  8  0.0  1.0
  402.976  492.274   11.072   0.0035  2  8  1.0  1.0
  414.046  504.400   11.203   0.0027  2  8  1.0  2.0
  401.395  492.274   11.268   0.0016  2  8  2.0  1.0
  436.970  528.095   11.298   0.0076  2  8  2.0  1.0
  414.046  505.795   11.376   0.0027  2  8  1.0  1.0
  402.976  494.738   11.377   0.0178  2  8  1.0  2.0
  436.970  529.061   11.418   0.0115  2  8  2.0  1.0
  402.976  495.848   11.515   0.0213  2  8  1.0  2.0
  409.966  502.906   11.523   0.0040  2  8  1.0  2.0
  412.737  505.795   11.538   0.0004  2  8  2.0  1.0
  422.896  516.194   11.568   0.0001  2  8  1.0  2.0
  402.976  496.288   11.569   0.0685  2  8  1.0  1.0
  402.976  496.686   11.619   0.0360  2  8  1.0  0.0
  409.966  503.843   11.639   0.0016  2  8  1.0  2.0
  411.498  505.795   11.692   0.0284  2  8  0.0  1.0
  409.966  504.400   11.708   0.0555  2  8  1.0  2.0
  422.896  517.594   11.741   0.0003  2  8  1.0  0.0
  401.395  496.288   11.765   0.0305  2  8  2.0  1.0
  409.966  505.795   11.881   0.0026  2  8  1.0  1.0
