    0.000  612.930   75.994   0.0232  1  1  0.0  1.0
    0.000  618.327   76.663   0.2173  1  1  0.0  1.0
    0.000  754.601   93.559   0.0030  1  3  0.0  1.0
    0.000  760.770   94.324   0.1022  1  3  0.0  1.0
    0.000  765.470   94.907   0.8065  1  3  0.0  1.0
    0.000  798.434   98.994   0.0165  1  2  0.0  1.0
    0.000  801.691   99.398   0.0240  1  2  0.0  1.0
    0.000  847.668  105.098   0.0025  1  4  0.0  1.0
    0.000  850.635  105.466   0.0966  1  4  0.0  1.0
    0.000  854.333  105.925   0.3275  1  4  0.0  1.0
    0.000  890.009  110.348   0.0019  1  5  0.0  1.0
    0.000  891.752  110.564   0.0978  1  5  0.0  1.0
    0.000  895.038  110.971   0.1678  1  5  0.0  1.0
