    2.283  0.5  1 (2p) 2p       750.068  1.5  1 (3p) 4p        92.714   0.0004
    2.283  0.5  1 (2p) 2p       751.317  0.5  1 (3p) 4p        92.869   0.0006
   -1.141  1.5  1 (2p) 2p       748.030  2.5  1 (3p) 4p        92.886   0.0004
   -1.141  1.5  1 (2p) 2p       750.068  1.5  1 (3p) 4p        93.139   0.0048
    2.283  0.5  1 (2p) 2p       759.119  1.5  1 (3p) 2p        93.836   0.0666
    2.283  0.5  1 (2p) 2p       761.570  0.5  1 (3p) 2p        94.140   0.1517
   -1.141  1.5  1 (2p) 2p       759.119  1.5  1 (3p) 2p        94.261   0.3944
   -1.141  1.5  1 (2p) 2p       761.570  0.5  1 (3p) 2p        94.565   0.0816
    2.283  0.5  1 (2p) 2p       790.345  1.5  1 (1d) 2d        97.708   0.1578
   -1.141  1.5  1 (2p) 2p       790.323  2.5  1 (1d) 2d        98.130   0.2662
   -1.141  1.5  1 (2p) 2p       790.345  1.5  1 (1d) 2d        98.133   0.0193
    2.283  0.5  1 (2p) 2p       846.132  0.5  1 (1s) 2s       104.625   0.0425
   -1.141  1.5  1 (2p) 2p       846.132  0.5  1 (1s) 2s       105.049   0.0734
    2.283  0.5  1 (2p) 2p       908.476  0.5  2 (3p) 4d       112.355   0.0004
   -1.141  1.5  1 (2p) 2p       907.692  2.5  2 (3p) 4d       112.682   0.0002
   -1.141  1.5  1 (2p) 2p       908.112  1.5  2 (3p) 4d       112.734   0.0005
   -1.141  1.5  1 (2p) 2p       908.476  0.5  2 (3p) 4d       112.779   0.0002
    2.283  0.5  1 (2p) 2p       915.602  1.5  2 (3p) 4f       113.238   0.0068
    2.283  0.5  1 (2p) 2p       916.960  1.5  2 (3p) 4p       113.406   0.0008
   -1.141  1.5  1 (2p) 2p       914.896  2.5  2 (3p) 4f       113.575   0.0130
   -1.141  1.5  1 (2p) 2p       915.602  1.5  2 (3p) 4f       113.663   0.0027
   -1.141  1.5  1 (2p) 2p       916.228  0.5  2 (3p) 4p       113.740   0.0017
   -1.141  1.5  1 (2p) 2p       916.960  1.5  2 (3p) 4p       113.831   0.0070
   -1.141  1.5  1 (2p) 2p       917.941  2.5  2 (3p) 4p       113.953   0.0632
    2.283  0.5  1 (2p) 2p       921.465  0.5  2 (3p) 2p       113.965   0.1020
    2.283  0.5  1 (2p) 2p       921.596  1.5  2 (3p) 2d       113.981   0.3649
   -1.141  1.5  1 (2p) 2p       918.269  2.5  2 (3p) 2f       113.993   0.0293
    2.283  0.5  1 (2p) 2p       924.124  1.5  2 (3p) 2p       114.295   0.4382
   -1.141  1.5  1 (2p) 2p       921.465  0.5  2 (3p) 2p       114.389   0.0638
   -1.141  1.5  1 (2p) 2p       921.596  1.5  2 (3p) 2d       114.406   0.4085
   -1.141  1.5  1 (2p) 2p       922.687  2.5  2 (3p) 2d       114.541   1.4216
   -1.141  1.5  1 (2p) 2p       924.124  1.5  2 (3p) 2p       114.719   0.0742
    2.283  0.5  1 (2p) 2p       952.131  0.5  2 (1d) 2s       117.767   0.1427
    2.283  0.5  1 (2p) 2p       954.746  1.5  2 (1d) 2p       118.091   0.1983
    2.283  0.5  1 (2p) 2p       955.510  0.5  2 (1d) 2p       118.186   0.4146
   -1.141  1.5  1 (2p) 2p       952.131  0.5  2 (1d) 2s       118.192   0.3710
    2.283  0.5  1 (2p) 2p       957.203  1.5  2 (1d) 2d       118.396   0.5746
   -1.141  1.5  1 (2p) 2p       954.746  1.5  2 (1d) 2p       118.516   0.8823
