      -1.141  1.5  1 (2p) 2p       954.746  1.5  2 (1d) 2p       118.516    118.5157   1.061   0.8823  -0.054 5.377E+11-7.81E-01
      -1.141  1.5  1 (2p) 2p       955.510  0.5  2 (1d) 2p       118.611    118.6104   0.183   0.1525  -0.817 9.306E+10-5.49E-01
      -1.141  1.5  1 (2p) 2p       955.940  2.5  2 (1d) 2f       118.664    118.6637   0.109   0.0910  -1.041 5.561E+10 7.31E-01
      -1.141  1.5  1 (2p) 2p       956.640  2.5  2 (1d) 2d       118.751    118.7505   1.023   0.8520  -0.070 5.213E+11 7.42E-01
      -1.141  1.5  1 (2p) 2p       957.203  1.5  2 (1d) 2d       118.820    118.8203   0.148   0.1237  -0.908 7.578E+10 7.20E-01
       2.283  0.5  1 (2p) 2p       999.807  1.5  3 (3p) 4p       123.678    123.6780   0.002   0.0019  -2.719 1.268E+09 3.93E-01
       2.283  0.5  1 (2p) 2p      1001.345  0.5  3 (3p) 4p       123.869    123.8687   0.001   0.0009  -3.060 5.792E+08-6.02E-01
       2.283  0.5  1 (2p) 2p      1002.322  1.5  3 (3p) 2p       123.990    123.9899   0.012   0.0103  -1.986 6.887E+09 5.31E-01
      -1.141  1.5  1 (2p) 2p       999.807  1.5  3 (3p) 4p       124.103    124.1026   0.015   0.0127  -1.896 8.485E+09-6.26E-01
       2.283  0.5  1 (2p) 2p      1004.495  0.5  3 (3p) 2p       124.259    124.2592   0.031   0.0269  -1.571 1.799E+10-6.31E-01
      -1.141  1.5  1 (2p) 2p      1001.345  0.5  3 (3p) 4p       124.293    124.2933   0.000   0.0003  -3.514 2.054E+08-3.68E-01
      -1.141  1.5  1 (2p) 2p      1002.322  1.5  3 (3p) 2p       124.415    124.4145   0.067   0.0588  -1.231 3.946E+10-6.56E-01
      -1.141  1.5  1 (2p) 2p      1004.495  0.5  3 (3p) 2p       124.684    124.6838   0.016   0.0144  -1.843 9.689E+09-6.55E-01
       2.283  0.5  1 (2p) 2p      1009.832  1.5  2 (1s) 2d       124.921    124.9210   0.220   0.1927  -0.715 1.305E+11 5.19E-01
      -1.141  1.5  1 (2p) 2p      1009.681  2.5  2 (1s) 2d       125.327    125.3268   0.328   0.2883  -0.540 1.964E+11 4.94E-01
      -1.141  1.5  1 (2p) 2p      1009.832  1.5  2 (1s) 2d       125.346    125.3455   0.035   0.0305  -1.516 2.077E+10 3.64E-01
       2.283  0.5  1 (2p) 2p      1038.230  1.5  3 (1d) 2d       128.442    128.4419   0.026   0.0235  -1.629 1.682E+10-4.71E-01
      -1.141  1.5  1 (2p) 2p      1038.219  2.5  3 (1d) 2d       128.865    128.8651   0.046   0.0416  -1.381 3.000E+10-4.91E-01
      -1.141  1.5  1 (2p) 2p      1038.230  1.5  3 (1d) 2d       128.867    128.8664   0.003   0.0029  -2.541 2.072E+09-2.29E-01
       2.283  0.5  1 (2p) 2p      1055.850  1.5  4 (3p) 4d       130.627    130.6265   0.000   0.0003  -3.600 1.858E+08 3.75E-02
       2.283  0.5  1 (2p) 2p      1056.332  0.5  4 (3p) 4d       130.687    130.6863   0.002   0.0015  -2.818 1.128E+09 2.87E-01
       2.283  0.5  1 (2p) 2p      1058.561  0.5  4 (3p) 4p       130.963    130.9627   0.001   0.0013  -2.897 9.437E+08 3.14E-01
      -1.141  1.5  1 (2p) 2p      1055.437  2.5  4 (3p) 4d       131.000    130.9999   0.000   0.0003  -3.519 2.255E+08 9.16E-02
       2.283  0.5  1 (2p) 2p      1059.233  1.5  4 (3p) 4p       131.046    131.0459   0.006   0.0059  -2.230 4.385E+09 1.61E-01
      -1.141  1.5  1 (2p) 2p      1055.850  1.5  4 (3p) 4d       131.051    131.0511   0.002   0.0014  -2.844 1.066E+09 2.05E-01
      -1.141  1.5  1 (2p) 2p      1056.332  0.5  4 (3p) 4d       131.111    131.1109   0.001   0.0006  -3.226 4.432E+08 2.14E-01
       2.283  0.5  1 (2p) 2p      1060.012  1.5  4 (3p) 4f       131.143    131.1426   0.007   0.0064  -2.193 4.788E+09-6.62E-01
      -1.141  1.5  1 (2p) 2p      1058.561  0.5  4 (3p) 4p       131.387    131.3872   0.002   0.0021  -2.668 1.609E+09 7.87E-01
