  140.087   0.3002   0.256E+12  1.5   -1.141
  140.195   0.0144   0.123E+11  1.5   -1.141
  142.209   0.1103   0.968E+11  0.5    2.283
  142.619   0.1685   0.149E+12  1.5   -1.141
  142.633   0.0188   0.166E+11  1.5   -1.141
  143.697   0.0222   0.199E+11  0.5    2.283
  143.743   0.0359   0.322E+11  0.5    2.283
  143.767   0.0718   0.644E+11  0.5    2.283
  143.795   0.0766   0.687E+11  0.5    2.283
  144.122   0.0638   0.575E+11  1.5   -1.141
  144.167   0.1350   0.122E+12  1.5   -1.141
  144.168   0.0017   0.152E+10  1.5   -1.141
  144.192   0.0229   0.207E+11  1.5   -1.141
  144.204   0.1223   0.110E+12  1.5   -1.141
  144.219   0.0225   0.203E+11  1.5   -1.141
  150.319   0.0392   0.384E+11  0.5    2.283
  150.739   0.0583   0.574E+11  1.5   -1.141
  150.744   0.0064   0.634E+10  1.5   -1.141
