  1  1     92.8681   0.0005
  1  1     93.0232   0.0007
  1  1     93.0404   0.0005
  1  1     93.2927   0.0055
  1  1     93.9197   0.0658
  1  1     94.2231   0.1509
  1  1     94.3443   0.3927
  1  1     94.6477   0.0815
  1  1     97.5826   0.1569
  1  1     98.0044   0.2634
  1  1     98.0072   0.0186
  1  1    104.1209   0.0414
  1  1    104.5455   0.0707
  1  3    112.4891   0.0001
  1  3    112.5352   0.0004
  1  3    112.8613   0.0002
  1  3    112.9136   0.0006
  1  3    112.9598   0.0002
  1  3    113.3769   0.0078
  1  3    113.5235   0.0008
  1  3    113.7138   0.0154
  1  3    113.8015   0.0034
  1  3    113.8565   0.0019
  1  3    113.9481   0.0079
  1  3    114.0459   0.1017
  1  3    114.0654   0.3587
  1  3    114.0688   0.0711
  1  3    114.1107   0.0316
  1  3    114.3762   0.4437
  1  3    114.4704   0.0645
  1  3    114.4900   0.4126
  1  3    114.6280   1.4201
  1  3    114.8008   0.0733
  1  3    117.6395   0.1431
  1  3    117.9538   0.2002
  1  3    118.0487   0.4185
  1  3    118.0640   0.3732
  1  3    118.2447   0.5822
  1  3    118.3784   0.8852
  1  3    118.4732   0.1528
  1  3    118.5147   0.0960
  1  3    118.5996   0.8550
  1  3    118.6692   0.1258
  1  2    123.8102   0.0021
  1  2    124.0045   0.0010
  1  2    124.0273   0.0001
  1  2    124.1078   0.0098
  1  2    124.2347   0.0146
  1  2    124.3731   0.0268
  1  3    124.4070   0.1977
  1  2    124.4291   0.0003
  1  2    124.5323   0.0574
  1  2    124.7977   0.0144
  1  3    124.8124   0.2921
  1  3    124.8316   0.0306
  1  2    128.3123   0.0238
  1  2    128.7356   0.0417
  1  2    128.7369   0.0028
  1  4    130.7720   0.0003
  1  4    130.8321   0.0017
  1  4    131.0891   0.0015
  1  4    131.1461   0.0003
  1  4    131.1719   0.0067
  1  4    131.1966   0.0015
  1  4    131.2567   0.0006
  1  4    131.2765   0.0074
  1  4    131.4959   0.0719
  1  4    131.5137   0.0025
  1  4    131.5488   0.0813
  1  4    131.5669   0.0546
  1  4    131.5965   0.0241
  1  4    131.7010   0.0002
  1  4    131.7467   0.0301
  1  4    131.7950   0.0555
  1  4    131.8292   0.3696
  1  4    131.9205   0.0412
  1  4    131.9733   0.2752
  1  4    132.1260   0.6844
  1  4    132.2538   0.0127
  1  2    134.8041   0.0256
  1  2    135.2287   0.0455
  1  4    135.6385   0.0639
  1  4    135.6633   0.0026
  1  4    135.6904   0.1616
  1  4    135.7492   0.1538
  1  4    136.0631   0.2638
  1  4    136.0878   0.1422
  1  4    136.0999   0.0131
  1  4    136.1442   0.2311
  1  4    136.1738   0.0372
  1  5    139.0288   0.0003
  1  5    139.0786   0.0018
  1  5    139.2023   0.0090
  1  5    139.2616   0.0114
  1  5    139.4166   0.0003
  1  5    139.4430   0.0157
  1  5    139.4534   0.0015
  1  5    139.4852   0.0480
  1  5    139.5031   0.0005
  1  5    139.5190   0.0301
  1  5    139.6269   0.0066
  1  5    139.6709   0.1048
  1  5    139.6862   0.0534
  1  5    139.7701   0.2190
  1  5    139.8626   0.0037
  1  5    139.8676   0.0012
  1  5    139.8931   0.0761
  1  5    139.9097   0.0260
  1  5    139.9436   0.1488
  1  5    140.0868   0.3002
  1  5    140.1946   0.0144
  1  4    142.2085   0.1103
  1  4    142.6191   0.1685
  1  4    142.6330   0.0188
  1  5    143.6968   0.0222
  1  5    143.7425   0.0359
  1  5    143.7670   0.0718
  1  5    143.7946   0.0766
  1  5    144.1213   0.0638
  1  5    144.1671   0.1350
  1  5    144.1677   0.0017
  1  5    144.1916   0.0229
  1  5    144.2033   0.1223
  1  5    144.2191   0.0225
  1  5    150.3191   0.0392
  1  5    150.7383   0.0583
  1  5    150.7437   0.0064
